Telecom Usage,,,
FY'2014 - FY'2025,,,
,,,
Duration,Monthly Wireless ARPU - Current (Rs.),Min per subs per month - Current (Minute),Internet Telephony Minute - Current (Crore)
2013-14,113,389,25.1
2014-15,473,"1,525",107.6
2015-16,496,"1,519",111.4
2016-17,434,"1,508",104.7
2017-18,319,"1,944",112.3
2018-19,277.91,"2,594",78.978
2019-20,318.82,"2,854",75.811
2020-21,392.22,"3,108",65.876
2021-22,454.15,"3,449",62.93
2022-23,554.32,"3,673",35.01
2023-24,601.39,"3,858",33.768
2024-25,694.77,"3,983",32.965
,,,
"Data Source: Department of Telecommunications, Ministry of Communications",,,
,,,
Â© 360 Analytika 2024,,,
Chart ID: ST-20250811-IN-03,,,